Month-Day,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01-03,,,,,,,,,126,,,,,
01-04,,,81,,,,,,60,,,,,
01-05,,,61,,,,,105,31,,,,114,98
01-06,88,146,41,,,,119,34,,,,,70,61
01-07,29,73,,,,,44,,,,,149,48,
01-08,54,,,,71,119,41,,45,,123,79,,
01-09,,,38,,51,46,,31,33,,55,,,62
01-10,,30,31,116,49,,,69,39,138,35,,52,73
01-11,51,52,29,59,,,56,69,21,86,,52,22,63
01-12,28,68,30,,,48,37,58,,,,50,33,84
01-13,20,78,,,53,44,19,78,,,40,69,32,49
01-14,28,64,,38,36,48,43,,,39,26,43,,
01-15,,,,45,35,97,26,,,57,22,69,,
01-16,,,,61,44,55,,,39,66,31,,,
01-17,,,46,44,15,,,64,53,30,,,,163
01-18,,71,59,71,,,,177,59,73,,,46,190
01-19,27,167,79,,,,27,,,,,104,102,
01-20,46,,,,,73,74,1,,,,100,96,
01-21,81,5,,,30,160,1,,,,55,1,2,
01-22,,,,91,110,9,2,,,111,58,,,
01-23,,,,173,1,1,,,1,154,63,,,
01-24,,4,1,,,,,3,5,,2,,1,
01-25,,1,,,,,3,4,,1,,,1,
01-26,,,2,,,5,1,1,2,,,,1,
01-27,,2,1,,,1,,1,,,,,,
01-28,,2,,1,4,2,3,,,1,2,,2,
01-29,,,,,2,1,,,,,,1,,
01-30,,,1,1,3,2,,1,2,,1,,,
01-31,,1,,,1,,,3,2,,1,,,
02-01,4,1,1,1,,,2,2,2,3,,,,
02-02,2,,1,,,2,,,2,,,1,3,
02-03,1,1,2,,,1,1,1,,,,3,,
02-04,,1,,,1,3,4,,,,,,,
02-05,1,,,2,1,,1,,1,,3,1,,
02-06,,,3,4,3,,,,2,1,,,,
02-07,,2,3,,1,,,1,,2,,,,
02-08,1,2,1,2,,,1,2,1,2,,1,1,
02-09,,2,,,,,,1,,,,1,1,
02-10,,1,,,,1,1,,,,,1,,
02-11,,1,,,5,1,2,,,3,,,,
02-12,,,,,1,2,,,1,1,3,,,
02-13,,,,,2,,,,,1,6,,,
02-14,,2,4,2,,,,,1,,,,3,
02-15,,1,,,,,,1,1,,,,2,
02-16,,,1,,,,1,5,,,,2,,
02-17,3,1,,,,4,2,,,,,3,4,
02-18,1,,,,5,1,1,,,,4,3,,
02-19,6,,,2,1,3,3,,,,1,1,,
02-20,,,,4,3,3,,,,2,1,,,
02-21,,,3,4,3,,,4,1,2,,,,
02-22,,3,5,6,,,2,2,1,1,,,2,
02-23,,1,2,,,4,7,,6,,,,,
02-24,,5,15,,1,9,4,2,,,3,,2,
02-25,3,,,5,,9,6,,,,4,1,5,
02-26,,,,5,6,4,,,2,,,,,
02-27,,,6,4,13,4,,2,3,6,4,,,
02-28,,2,3,,1,,,1,6,2,,,3,
02-29,,,7,,,,2,,,,,,,
03-01,6,6,8,,,,2,3,,2,,,3,
03-02,3,5,,,,2,2,2,,,,4,6,
03-03,6,,,,,8,6,3,,,4,1,3,
03-04,1,3,,1,6,6,,,,,2,2,,
03-05,,,13,,5,1,,,,2,3,,,
03-06,,,6,7,3,1,,1,4,2,1,,,
03-07,,4,7,2,3,,7,1,1,2,,,,
03-08,,6,,,,,3,3,4,,,,7,
03-09,15,8,,,,2,8,2,1,,2,3,9,
03-10,1,1,,,7,1,2,,,,1,3,4,
03-11,3,,,,2,3,,,,,10,3,2,
03-12,3,,,4,2,1,,,3,,2,1,,
03-13,,,9,3,7,,,2,6,3,,,,
03-14,,1,9,4,,,,2,,,,,2,
03-15,22,6,9,1,,,16,5,2,,,4,4,
03-16,9,7,3,,,4,10,2,,,,,7,
03-17,5,6,,,,4,5,2,,,,6,2,
03-18,1,,,4,11,11,5,,,3,,,,
03-19,,,16,5,17,7,,,,4,,,,
03-20,,,10,8,4,9,,2,7,8,,,,
03-21,,,12,1,2,,4,,4,2,,,,
03-22,,4,6,,,,14,3,7,,,12,9,
03-23,11,3,,,,2,8,3,3,,1,8,9,
03-24,6,3,,,13,7,10,,,,,1,3,
03-25,24,1,,2,25,13,,,,4,,3,8,
03-26,13,,,5,56,2,,,19,6,,,,
03-27,,,79,1,1,,,,87,2,,,,
03-28,,1,11,4,,,,5,,2,,,26,
03-29,71,1,7,,,,78,3,1,,,4,33,
03-30,2,1,1,,,3,7,,,,,1,3,
03-31,2,1,,,7,7,4,3,,,,1,3,
04-01,2,,,,2,6,2,,,,,4,,
04-02,,,6,1,7,,,,,12,,,,
04-03,,,4,1,2,,,1,,1,,,,
04-04,,,5,2,,,1,,9,1,,,,
04-05,,3,1,14,,,2,2,5,4,,,14,
04-06,4,7,,,,,1,,5,,,3,1,
04-07,4,5,,,3,2,3,,,,,4,1,
04-08,1,1,,6,1,5,,,,1,,3,9,
04-09,7,,,1,6,4,,,1,,,,,
04-10,,,5,2,2,4,,7,9,1,,,,
04-11,,1,6,3,,,,5,,,,,5,
04-12,3,3,,,,,3,,,,,3,11,
04-13,3,1,,,,1,2,1,,,,6,2,
04-14,,1,,,,4,,,,,,2,,
04-15,,,,,,7,,,,4,,,,
04-16,,,,1,,,,,,,,,,
04-17,,,,2,,,,,,2,,,,
04-18,,8,,1,,,,3,,5,,,,
04-19,,2,,,,,,1,,,,,,
04-20,,1,,,,8,,5,,,,3,,
04-21,,1,,,,6,,3,,,,8,,
04-22,,,,2,,2,,,,,,1,,
04-23,,,,5,,4,,,,1,,1,,
04-24,,,,5,,,,1,,3,,,,
04-25,,,,5,,,,1,,2,,,,
04-26,,4,,,,,,2,,1,,2,,
04-27,,3,,,,,,5,,,,5,,
04-28,,3,,,,5,,,,,,4,,
04-29,,,,1,,10,,,,2,,4,,
04-30,,,,5,,7,,,,5,,,,
05-01,,,,2,,,,,,6,,,,
05-02,,19,,1,,,,3,,3,,,,
05-03,,5,,,,,,4,,,,,,
05-04,,1,,,,4,,4,,,,6,,
05-05,,8,,,,12,,3,,,,5,,
05-06,,,,,,8,,,,,,9,,
05-07,,,,3,,3,,,,8,,1,,
05-08,,,,2,,,,7,,3,,,,
05-09,,8,,8,,,,37,,1,,,,
05-10,,17,,1,,,,75,,6,,7,,
05-11,,15,,,,,,,,,,4,,
05-12,,14,,,,20,,,,,,10,,
05-13,,,,12,,27,,,,10,,4,,
05-14,,,,8,,56,,,,2,,,,
05-15,,,,12,,1,,5,,15,,,,
05-16,,,,19,,,,6,,9,,,,
05-17,,67,,,,,,2,,,,,,
05-18,,7,,,,6,,1,,,,48,,
05-19,,1,,,,5,,,,,,40,,
05-20,,3,,116,,5,,,,,,6,,
05-21,,,,3,,4,,,,75,,15,,
05-22,,,,3,,,,,,29,,,,
05-23,,12,,5,,,,,,8,,,,
05-24,,6,,,,,,,,2,,,,
05-25,,4,,,,,,,,,,,,
05-26,,,,,,4,,,,,,1,,
05-27,,,,,,7,,,,,,,,
05-28,,,,4,,7,,,,,,,,
05-29,,,,9,,,,,,,,,,
05-30,,,,4,,,,,,15,,,,
05-31,,,,4,,,,,,,,,,
06-03,,,,8,,,,,,,,,,
06-04,,,,2,,,,,,,,,,
06-05,,,,3,,,,,,,,,,
07-20,,,,,,,,,,,4,,,
07-21,,,,,,,,,,,4,,,
07-22,,,,,,,,,,,8,,,
07-23,,,,,,,,,,,19,,,
07-24,,,,,,,,,,,5,,,
07-27,,,,,,,,,,,49,,,
07-28,,,,,,,,,,,30,,,
07-29,,,,,,,,,,,1,,,
07-30,,,,,,,,,,,4,,,
08-03,,,,,,,,,,,2,,,
08-04,,,,,,,,,,,1,,,
08-05,,,,,,,,,,,4,,,
08-06,,,,,,,,,,,1,,,
